BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,WAPRICE,CHANGE,QTY,NUMTRADES
ROPD,2024-07-29,IM2750CF6,,,,,0.0,,,,351.18,,,,0
ROPD,2024-07-30,IM2750CF6,,,,,0.0,,,,358.18,,,,0
ROPD,2024-07-31,IM2750CF6,,,,,0.0,,,,366.58,,,,0
ROPD,2024-08-01,IM2750CF6,,,,,0.0,,,,360.63,,,,0
ROPD,2024-08-02,IM2750CF6,,,,,0.0,,,,677.36,,,,0
ROPD,2024-08-05,IM2750CF6,,,,,0.0,,,,676.29,,,,0
ROPD,2024-08-06,IM2750CF6,,,,,0.0,,,,341.96,,,,0
ROPD,2024-08-07,IM2750CF6,,,,,0.0,,,,707.34,,,,0
ROPD,2024-08-08,IM2750CF6,,,,,0.0,,,,329.36,,,,0
ROPD,2024-08-09,IM2750CF6,,,,,0.0,,,,337.06,,,,0
ROPD,2024-08-12,IM2750CF6,,,,,0.0,,,,712.21,,,,0
ROPD,2024-08-13,IM2750CF6,,,,,0.0,,,,722.84,,,,0
ROPD,2024-08-14,IM2750CF6,,,,,0.0,,,,676.79,,,,0
ROPD,2024-08-15,IM2750CF6,,,,,0.0,,,,681.48,,,,0
ROPD,2024-08-16,IM2750CF6,,,,,0.0,,,,676.55,,,,0
ROPD,2024-08-19,IM2750CF6,,,,,0.0,,,,675.4,,,,0
ROPD,2024-08-20,IM2750CF6,,,,,0.0,,,,685.16,,,,0
ROPD,2024-08-21,IM2750CF6,,,,,0.0,,,,676.48,,,,0
ROPD,2024-08-22,IM2750CF6,,,,,0.0,,,,577.72,,,,0
ROPD,2024-08-23,IM2750CF6,,,,,0.0,,,,553.84,,,,0
ROPD,2024-08-26,IM2750CF6,,,,,0.0,,,,563.27,,,,0
ROPD,2024-08-27,IM2750CF6,,,,,0.0,,,,168.33,,,,0
ROPD,2024-08-28,IM2750CF6,,,,,0.0,,,,534.09,,,,0
ROPD,2024-08-29,IM2750CF6,,,,,0.0,,,,180.49,,,,0
ROPD,2024-08-30,IM2750CF6,,,,,0.0,,,,562.62,,,,0
ROPD,2024-09-02,IM2750CF6,,,,,0.0,,,,486.48,,,,0
ROPD,2024-09-03,IM2750CF6,,,,,0.0,,,,462.09,,,,0
ROPD,2024-09-04,IM2750CF6,,,,,0.0,,,,520.78,,,,0
ROPD,2024-09-05,IM2750CF6,,,,,0.0,,,,567.35,,,,0
ROPD,2024-09-06,IM2750CF6,,,,,0.0,,,,579.7,,,,0
ROPD,2024-09-09,IM2750CF6,,,,,0.0,,,,591.03,,,,0
ROPD,2024-09-10,IM2750CF6,,,,,0.0,,,,600.09,,,,0
ROPD,2024-09-11,IM2750CF6,,,,,0.0,,,,604.34,,,,0
ROPD,2024-09-12,IM2750CF6,,,,,0.0,,,,610.77,,,,0
ROPD,2024-09-13,IM2750CF6,,,,,0.0,,,,615.75,,,,0
ROPD,2024-09-16,IM2750CF6,,,,,0.0,,,,316.39,,,,0
ROPD,2024-09-17,IM2750CF6,,,,,0.0,,,,645.38,,,,0
ROPD,2024-09-18,IM2750CF6,,,,,0.0,,,,935.63,,,,0
ROPD,2024-09-19,IM2750CF6,,,,,0.0,,,,522.22,,,,0
ROPD,2024-09-20,IM2750CF6,,,,,0.0,,,,621.81,,,,0
ROPD,2024-09-23,IM2750CF6,,,,,0.0,,,,620.23,,,,0
ROPD,2024-09-24,IM2750CF6,,,,,0.0,,,,329.51,,,,0
ROPD,2024-09-25,IM2750CF6,,,,,0.0,,,,640.93,,,,0
ROPD,2024-09-26,IM2750CF6,,,,,0.0,,,,653.69,,,,0
ROPD,2024-09-27,IM2750CF6,,,,,0.0,,,,606.48,,,,0
ROPD,2024-09-30,IM2750CF6,,,,,0.0,,,,631.18,,,,0
ROPD,2024-10-01,IM2750CF6,,,,,0.0,,,,592.98,,,,0
ROPD,2024-10-02,IM2750CF6,,,,,0.0,,,,637.06,,,,0
ROPD,2024-10-03,IM2750CF6,,,,,0.0,,,,591.28,,,,0
ROPD,2024-10-04,IM2750CF6,,,,,0.0,,,,608.98,,,,0
ROPD,2024-10-07,IM2750CF6,,,,,0.0,,,,638.99,,,,0
ROPD,2024-10-08,IM2750CF6,,,,,0.0,,,,608.49,,,,0
ROPD,2024-10-09,IM2750CF6,,,,,0.0,,,,611.33,,,,0
ROPD,2024-10-10,IM2750CF6,,,,,0.0,,,,605.46,,,,0
ROPD,2024-10-11,IM2750CF6,,,,,0.0,,,,616.3,,,,0
ROPD,2024-10-14,IM2750CF6,,,,,0.0,,,,631.73,,,,0
ROPD,2024-10-15,IM2750CF6,,,,,0.0,,,,596.8,,,,0
ROPD,2024-10-16,IM2750CF6,,,,,0.0,,,,603.47,,,,0
ROPD,2024-10-17,IM2750CF6,,,,,0.0,,,,572.2,,,,0
ROPD,2024-10-18,IM2750CF6,,,,,0.0,,,,567.48,,,,0
ROPD,2024-10-21,IM2750CF6,,,,,0.0,,,,575.76,,,,0
ROPD,2024-10-22,IM2750CF6,,,,,0.0,,,,598.67,,,,0
ROPD,2024-10-23,IM2750CF6,,,,,0.0,,,,594.01,,,,0
ROPD,2024-10-24,IM2750CF6,,,,,0.0,,,,555.11,,,,0
ROPD,2024-10-25,IM2750CF6,,,,,0.0,,,,562.05,,,,0
ROPD,2024-10-28,IM2750CF6,,,,,0.0,,,,550.83,,,,0
ROPD,2024-10-29,IM2750CF6,,,,,0.0,,,,531.59,,,,0
ROPD,2024-10-30,IM2750CF6,,,,,0.0,,,,548.4,,,,0
ROPD,2024-10-31,IM2750CF6,,,,,0.0,,,,549.8,,,,0
ROPD,2024-11-01,IM2750CF6,,,,,0.0,,,,459.02,,,,0
ROPD,2024-11-02,IM2750CF6,,,,,0.0,,,,482.75,,,,0
ROPD,2024-11-05,IM2750CF6,,,,,0.0,,,,537.3,,,,0
ROPD,2024-11-06,IM2750CF6,,,,,0.0,,,,285.52,,,,0
ROPD,2024-11-07,IM2750CF6,,,,,0.0,,,,522.88,,,,0
ROPD,2024-11-08,IM2750CF6,,,,,0.0,,,,565.24,,,,0
ROPD,2024-11-11,IM2750CF6,,,,,0.0,,,,595.19,,,,0
ROPD,2024-11-12,IM2750CF6,,,,,0.0,,,,585.72,,,,0
ROPD,2024-11-13,IM2750CF6,,,,,0.0,,,,577.03,,,,0
ROPD,2024-11-14,IM2750CF6,,,,,0.0,,,,571.31,,,,0
ROPD,2024-11-15,IM2750CF6,,,,,0.0,,,,535.54,,,,0
ROPD,2024-11-18,IM2750CF6,,,,,0.0,,,,583.79,,,,0
ROPD,2024-11-19,IM2750CF6,,,,,0.0,,,,632.25,,,,0
ROPD,2024-11-20,IM2750CF6,,,,,0.0,,,,628.73,,,,0
ROPD,2024-11-21,IM2750CF6,,,,,0.0,,,,463.64,,,,0
ROPD,2024-11-22,IM2750CF6,,,,,0.0,,,,171.39,,,,0
ROPD,2024-11-25,IM2750CF6,,,,,0.0,,,,503.89,,,,0
ROPD,2024-11-26,IM2750CF6,,,,,0.0,,,,522.98,,,,0
ROPD,2024-11-27,IM2750CF6,,,,,0.0,,,,547.87,,,,0
ROPD,2024-11-28,IM2750CF6,,,,,0.0,,,,519.27,,,,0
ROPD,2024-11-29,IM2750CF6,,,,,0.0,,,,512.87,,,,0
ROPD,2024-12-02,IM2750CF6,,,,,0.0,,,,522.63,,,,0
ROPD,2024-12-03,IM2750CF6,,,,,0.0,,,,533.76,,,,0
ROPD,2024-12-04,IM2750CF6,,,,,0.0,,,,483.46,,,,0
ROPD,2024-12-05,IM2750CF6,,,,,0.0,,,,514.36,,,,0
ROPD,2024-12-06,IM2750CF6,,,,,0.0,,,,510.37,,,,0
ROPD,2024-12-09,IM2750CF6,,,,,0.0,,,,510.2,,,,0
ROPD,2024-12-10,IM2750CF6,,,,,0.0,,,,511.43,,,,0
ROPD,2024-12-11,IM2750CF6,,,,,0.0,,,,544.19,,,,0
ROPD,2024-12-12,IM2750CF6,,,,,0.0,,,,563.4,,,,0
ROPD,2024-12-13,IM2750CF6,,,,,0.0,,,,501.49,,,,0
ROPD,2024-12-16,IM2750CF6,,,,,0.0,,,,651.43,,,,0
ROPD,2024-12-17,IM2750CF6,,,,,0.0,,,,505.29,,,,0
ROPD,2024-12-18,IM2750CF6,,,,,0.0,,,,1145.9,,,,0
ROPD,2024-12-19,IM2750CF6,,,,,0.0,,,,347.58,,,,0
ROPD,2024-12-20,IM2750CF6,,,,,0.0,,,,604.24,,,,0
ROPD,2024-12-23,IM2750CF6,,,,,0.0,,,,605.78,,,,0
ROPD,2024-12-24,IM2750CF6,,,,,0.0,,,,634.26,,,,0
ROPD,2024-12-25,IM2750CF6,,,,,0.0,,,,598.84,,,,0
ROPD,2024-12-26,IM2750CF6,,,,,0.0,,,,629.83,,,,0
ROPD,2024-12-27,IM2750CF6,,,,,0.0,,,,632.43,,,,0
ROPD,2024-12-28,IM2750CF6,,,,,0.0,,,,634.48,,,,0
ROPD,2024-12-30,IM2750CF6,,,,,0.0,,,,646.76,,,,0
